timestamp,flow_lpm
2024-05-21 05:00,99.0
2024-05-21 05:01,99.064
2024-05-21 05:02,99.127
2024-05-21 05:03,99.191
2024-05-21 05:04,99.254
2024-05-21 05:05,99.317
2024-05-21 05:06,99.38
2024-05-21 05:07,99.442
2024-05-21 05:08,99.504
2024-05-21 05:09,99.566
2024-05-21 05:10,99.627
2024-05-21 05:11,99.687
2024-05-21 05:12,99.747
2024-05-21 05:13,99.806
2024-05-21 05:14,99.864
2024-05-21 05:15,99.922
2024-05-21 05:16,99.979
2024-05-21 05:17,100.035
2024-05-21 05:18,100.089
2024-05-21 05:19,100.143
2024-05-21 05:20,100.196
2024-05-21 05:21,100.248
2024-05-21 05:22,100.299
2024-05-21 05:23,100.348
2024-05-21 05:24,100.396
2024-05-21 05:25,100.443
2024-05-21 05:26,100.489
2024-05-21 05:27,100.533
2024-05-21 05:28,100.576
2024-05-21 05:29,100.617
2024-05-21 05:30,100.657
2024-05-21 05:31,100.695
2024-05-21 05:32,100.732
2024-05-21 05:33,100.767
2024-05-21 05:34,100.801
2024-05-21 05:35,100.833
2024-05-21 05:36,100.863
2024-05-21 05:37,100.891
2024-05-21 05:38,100.918
2024-05-21 05:39,100.943
2024-05-21 05:40,100.966
2024-05-21 05:41,100.988
2024-05-21 05:42,101.007
2024-05-21 05:43,101.025
2024-05-21 05:44,101.041
2024-05-21 05:45,101.055
2024-05-21 05:46,101.067
2024-05-21 05:47,101.077
2024-05-21 05:48,101.086
2024-05-21 05:49,101.092
2024-05-21 05:50,101.097
2024-05-21 05:51,101.099
2024-05-21 05:52,101.1
2024-05-21 05:53,101.099
2024-05-21 05:54,101.095
2024-05-21 05:55,101.09
2024-05-21 05:56,101.083
2024-05-21 05:57,101.074
2024-05-21 05:58,101.063
2024-05-21 05:59,101.051
2024-05-21 06:00,101.036
2024-05-21 06:01,101.02
2024-05-21 06:02,101.001
2024-05-21 06:03,100.981
2024-05-21 06:04,100.959
2024-05-21 06:05,100.935
2024-05-21 06:06,100.91
2024-05-21 06:07,100.882
2024-05-21 06:08,100.853
2024-05-21 06:09,100.822
2024-05-21 06:10,100.79
2024-05-21 06:11,100.756
2024-05-21 06:12,100.72
2024-05-21 06:13,100.683
2024-05-21 06:14,100.644
2024-05-21 06:15,100.604
2024-05-21 06:16,100.562
2024-05-21 06:17,100.518
2024-05-21 06:18,100.474
2024-05-21 06:19,100.428
2024-05-21 06:20,100.381
2024-05-21 06:21,100.332
2024-05-21 06:22,100.282
2024-05-21 06:23,100.231
2024-05-21 06:24,100.179
2024-05-21 06:25,100.126
2024-05-21 06:26,100.072
2024-05-21 06:27,100.016
2024-05-21 06:28,99.96
2024-05-21 06:29,99.903
2024-05-21 06:30,99.845
2024-05-21 06:31,99.787
2024-05-21 06:32,99.727
2024-05-21 06:33,99.667
2024-05-21 06:34,99.607
2024-05-21 06:35,99.546
2024-05-21 06:36,99.484
2024-05-21 06:37,99.422
2024-05-21 06:38,99.359
2024-05-21 06:39,99.296
2024-05-21 06:40,99.233
2024-05-21 06:41,99.17
2024-05-21 06:42,99.106
2024-05-21 06:43,99.043
2024-05-21 06:44,98.979
2024-05-21 06:45,98.916
2024-05-21 06:46,98.852
2024-05-21 06:47,98.789
2024-05-21 06:48,98.725
2024-05-21 06:49,98.662
2024-05-21 06:50,98.6
2024-05-21 06:51,98.538
2024-05-21 06:52,98.476
2024-05-21 06:53,98.414
2024-05-21 06:54,98.353
2024-05-21 06:55,98.293
2024-05-21 06:56,98.234
2024-05-21 06:57,98.175
2024-05-21 06:58,98.117
2024-05-21 06:59,98.059
2024-05-21 07:00,98.003
2024-05-21 07:01,97.947
2024-05-21 07:02,97.893
2024-05-21 07:03,97.839
2024-05-21 07:04,97.787
2024-05-21 07:05,97.735
2024-05-21 07:06,97.685
2024-05-21 07:07,97.636
2024-05-21 07:08,97.588
2024-05-21 07:09,97.542
2024-05-21 07:10,97.497
2024-05-21 07:11,97.453
2024-05-21 07:12,97.411
2024-05-21 07:13,97.37
2024-05-21 07:14,97.33
2024-05-21 07:15,97.293
2024-05-21 07:16,97.256
2024-05-21 07:17,97.222
2024-05-21 07:18,97.189
2024-05-21 07:19,97.157
2024-05-21 07:20,97.128
2024-05-21 07:21,97.1
2024-05-21 07:22,97.074
2024-05-21 07:23,97.049
2024-05-21 07:24,97.026
2024-05-21 07:25,97.006
2024-05-21 07:26,96.987
2024-05-21 07:27,96.969
2024-05-21 07:28,96.954
2024-05-21 07:29,96.941
2024-05-21 07:30,96.929
2024-05-21 07:31,96.92
2024-05-21 07:32,96.912
2024-05-21 07:33,96.906
2024-05-21 07:34,96.902
2024-05-21 07:35,96.9
2024-05-21 07:36,96.9
2024-05-21 07:37,96.902
2024-05-21 07:38,96.906
2024-05-21 07:39,96.912
2024-05-21 07:40,96.919
2024-05-21 07:41,96.929
2024-05-21 07:42,96.94
2024-05-21 07:43,96.954
2024-05-21 07:44,96.969
2024-05-21 07:45,96.986
2024-05-21 07:46,97.005
2024-05-21 07:47,97.026
2024-05-21 07:48,97.049
2024-05-21 07:49,97.073
2024-05-21 07:50,97.099
2024-05-21 07:51,97.127
2024-05-21 07:52,97.157
2024-05-21 07:53,97.188
2024-05-21 07:54,97.221
2024-05-21 07:55,97.256
2024-05-21 07:56,97.292
2024-05-21 07:57,97.33
2024-05-21 07:58,97.369
2024-05-21 07:59,97.41
2024-05-21 08:00,97.452
2024-05-21 08:01,97.496
2024-05-21 08:02,97.541
2024-05-21 08:03,97.588
2024-05-21 08:04,97.635
2024-05-21 08:05,97.684
2024-05-21 08:06,97.734
2024-05-21 08:07,97.786
2024-05-21 08:08,97.838
2024-05-21 08:09,97.892
2024-05-21 08:10,97.946
2024-05-21 08:11,98.002
2024-05-21 08:12,98.058
2024-05-21 08:13,98.116
2024-05-21 08:14,98.174
2024-05-21 08:15,98.233
2024-05-21 08:16,98.292
