timestamp,pressure_bar
2024-05-21 05:00,3.5
2024-05-21 05:01,3.502
2024-05-21 05:02,3.505
2024-05-21 05:03,3.507
2024-05-21 05:04,3.51
2024-05-21 05:05,3.512
2024-05-21 05:06,3.514
2024-05-21 05:07,3.517
2024-05-21 05:08,3.519
2024-05-21 05:09,3.522
2024-05-21 05:10,3.524
2024-05-21 05:11,3.526
2024-05-21 05:12,3.528
2024-05-21 05:13,3.531
2024-05-21 05:14,3.533
2024-05-21 05:15,3.535
2024-05-21 05:16,3.537
2024-05-21 05:17,3.539
2024-05-21 05:18,3.542
2024-05-21 05:19,3.544
2024-05-21 05:20,3.546
2024-05-21 05:21,3.548
2024-05-21 05:22,3.549
2024-05-21 05:23,3.551
2024-05-21 05:24,3.553
2024-05-21 05:25,3.555
2024-05-21 05:26,3.557
2024-05-21 05:27,3.558
2024-05-21 05:28,3.56
2024-05-21 05:29,3.562
2024-05-21 05:30,3.563
2024-05-21 05:31,3.565
2024-05-21 05:32,3.566
2024-05-21 05:33,3.567
2024-05-21 05:34,3.569
2024-05-21 05:35,3.57
2024-05-21 05:36,3.571
2024-05-21 05:37,3.572
2024-05-21 05:38,3.573
2024-05-21 05:39,3.574
2024-05-21 05:40,3.575
2024-05-21 05:41,3.576
2024-05-21 05:42,3.576
2024-05-21 05:43,3.577
2024-05-21 05:44,3.578
2024-05-21 05:45,3.578
2024-05-21 05:46,3.579
2024-05-21 05:47,3.579
2024-05-21 05:48,3.579
2024-05-21 05:49,3.58
2024-05-21 05:50,3.58
2024-05-21 05:51,3.58
2024-05-21 05:52,3.58
2024-05-21 05:53,3.58
2024-05-21 05:54,3.58
2024-05-21 05:55,3.58
2024-05-21 05:56,3.579
2024-05-21 05:57,3.579
2024-05-21 05:58,3.579
2024-05-21 05:59,3.578
2024-05-21 06:00,3.578
2024-05-21 06:01,3.577
2024-05-21 06:02,3.576
2024-05-21 06:03,3.575
2024-05-21 06:04,3.575
2024-05-21 06:05,3.574
2024-05-21 06:06,3.573
2024-05-21 06:07,3.572
2024-05-21 06:08,3.571
2024-05-21 06:09,3.569
2024-05-21 06:10,3.568
2024-05-21 06:11,3.567
2024-05-21 06:12,3.566
2024-05-21 06:13,3.564
2024-05-21 06:14,3.563
2024-05-21 06:15,3.561
2024-05-21 06:16,3.559
2024-05-21 06:17,3.558
2024-05-21 06:18,3.556
2024-05-21 06:19,3.554
2024-05-21 06:20,3.553
2024-05-21 06:21,3.551
2024-05-21 06:22,3.549
