timestamp,valve_open_pct
2024-05-21 05:00,87.0
2024-05-21 05:01,86.92
2024-05-21 05:02,86.84
2024-05-21 05:03,86.76
2024-05-21 05:04,86.68
2024-05-21 05:05,86.6
2024-05-21 05:06,86.52
2024-05-21 05:07,86.44
2024-05-21 05:08,86.36
2024-05-21 05:09,86.28
2024-05-21 05:10,86.2
2024-05-21 05:11,86.12
2024-05-21 05:12,86.04
2024-05-21 05:13,85.96
2024-05-21 05:14,85.88
2024-05-21 05:15,85.8
2024-05-21 05:16,85.72
2024-05-21 05:17,85.64
2024-05-21 05:18,85.56
2024-05-21 05:19,85.48
2024-05-21 05:20,85.4
2024-05-21 05:21,85.32
2024-05-21 05:22,85.24
2024-05-21 05:23,85.16
2024-05-21 05:24,85.08
2024-05-21 05:25,85.0
2024-05-21 05:26,84.92
2024-05-21 05:27,84.84
2024-05-21 05:28,84.76
2024-05-21 05:29,84.68
2024-05-21 05:30,84.6
2024-05-21 05:31,84.44
2024-05-21 05:32,84.28
2024-05-21 05:33,84.12
2024-05-21 05:34,83.96
2024-05-21 05:35,83.8
2024-05-21 05:36,83.64
2024-05-21 05:37,83.48
2024-05-21 05:38,83.32
2024-05-21 05:39,83.16
2024-05-21 05:40,83.0
2024-05-21 05:41,82.84
2024-05-21 05:42,82.68
2024-05-21 05:43,82.52
2024-05-21 05:44,82.36
2024-05-21 05:45,82.2
2024-05-21 05:46,82.04
2024-05-21 05:47,81.88
2024-05-21 05:48,81.72
2024-05-21 05:49,81.56
2024-05-21 05:50,81.4
2024-05-21 05:51,81.24
2024-05-21 05:52,81.08
2024-05-21 05:53,80.92
2024-05-21 05:54,80.76
2024-05-21 05:55,80.6
2024-05-21 05:56,80.44
2024-05-21 05:57,80.28
2024-05-21 05:58,80.12
2024-05-21 05:59,79.96
2024-05-21 06:00,79.8
2024-05-21 06:01,79.64
2024-05-21 06:02,79.48
2024-05-21 06:03,79.32
2024-05-21 06:04,79.16
2024-05-21 06:05,79.0
2024-05-21 06:06,78.84
2024-05-21 06:07,78.68
2024-05-21 06:08,78.52
2024-05-21 06:09,78.36
2024-05-21 06:10,78.2
2024-05-21 06:11,78.04
2024-05-21 06:12,77.88
2024-05-21 06:13,77.72
2024-05-21 06:14,77.56
2024-05-21 06:15,77.4
2024-05-21 06:16,77.24
2024-05-21 06:17,77.08
2024-05-21 06:18,76.92
2024-05-21 06:19,76.76
2024-05-21 06:20,76.6
2024-05-21 06:21,76.44
2024-05-21 06:22,76.28
2024-05-21 06:23,76.12
2024-05-21 06:24,75.96
2024-05-21 06:25,75.8
2024-05-21 06:26,75.64
2024-05-21 06:27,75.48
2024-05-21 06:28,75.32
2024-05-21 06:29,75.16
2024-05-21 06:30,75.0
2024-05-21 06:31,74.84
2024-05-21 06:32,74.68
2024-05-21 06:33,74.52
2024-05-21 06:34,74.36
2024-05-21 06:35,74.2
2024-05-21 06:36,74.04
2024-05-21 06:37,73.88
2024-05-21 06:38,73.72
2024-05-21 06:39,73.56
2024-05-21 06:40,73.4
2024-05-21 06:41,73.24
2024-05-21 06:42,73.08
2024-05-21 06:43,72.92
2024-05-21 06:44,72.76
2024-05-21 06:45,72.6
2024-05-21 06:46,72.44
2024-05-21 06:47,72.28
2024-05-21 06:48,72.12
2024-05-21 06:49,71.96
2024-05-21 06:50,71.8
2024-05-21 06:51,71.64
2024-05-21 06:52,71.48
2024-05-21 06:53,71.32
2024-05-21 06:54,71.16
2024-05-21 06:55,71.0
2024-05-21 06:56,70.84
2024-05-21 06:57,70.68
2024-05-21 06:58,70.52
2024-05-21 06:59,70.36
2024-05-21 07:00,70.2
2024-05-21 07:01,70.11
2024-05-21 07:02,70.02
2024-05-21 07:03,69.93
2024-05-21 07:04,69.84
2024-05-21 07:05,69.75
2024-05-21 07:06,69.66
2024-05-21 07:07,69.57
2024-05-21 07:08,69.48
2024-05-21 07:09,69.39
2024-05-21 07:10,69.3
2024-05-21 07:11,69.21
2024-05-21 07:12,69.12
2024-05-21 07:13,69.03
2024-05-21 07:14,68.94
2024-05-21 07:15,68.85
2024-05-21 07:16,68.76
2024-05-21 07:17,68.67
2024-05-21 07:18,68.58
2024-05-21 07:19,68.49
2024-05-21 07:20,68.4
2024-05-21 07:21,68.31
2024-05-21 07:22,68.22
2024-05-21 07:23,68.13
2024-05-21 07:24,68.04
2024-05-21 07:25,67.95
2024-05-21 07:26,67.86
2024-05-21 07:27,67.77
2024-05-21 07:28,67.68
2024-05-21 07:29,67.59
2024-05-21 07:30,67.5
2024-05-21 07:31,67.41
