timestamp,value_celsius
2024-05-21 05:00,85.0
2024-05-21 05:01,85.02
2024-05-21 05:02,85.04
2024-05-21 05:03,85.06
2024-05-21 05:04,85.08
2024-05-21 05:05,85.1
2024-05-21 05:06,85.12
2024-05-21 05:07,85.14
2024-05-21 05:08,85.16
2024-05-21 05:09,85.18
2024-05-21 05:10,85.2
2024-05-21 05:11,85.22
2024-05-21 05:12,85.24
2024-05-21 05:13,85.26
2024-05-21 05:14,85.28
2024-05-21 05:15,85.3
2024-05-21 05:16,85.32
2024-05-21 05:17,85.34
2024-05-21 05:18,85.36
2024-05-21 05:19,85.38
2024-05-21 05:20,85.4
2024-05-21 05:21,85.42
2024-05-21 05:22,85.44
2024-05-21 05:23,85.46
2024-05-21 05:24,85.48
2024-05-21 05:25,85.5
2024-05-21 05:26,85.52
2024-05-21 05:27,85.54
2024-05-21 05:28,85.56
2024-05-21 05:29,85.58
2024-05-21 05:30,86.0
2024-05-21 05:31,86.08
2024-05-21 05:32,86.16
2024-05-21 05:33,86.24
2024-05-21 05:34,86.32
2024-05-21 05:35,86.4
2024-05-21 05:36,86.48
2024-05-21 05:37,86.56
2024-05-21 05:38,86.64
2024-05-21 05:39,86.72
2024-05-21 05:40,86.8
2024-05-21 05:41,86.88
2024-05-21 05:42,86.96
2024-05-21 05:43,87.04
2024-05-21 05:44,87.12
2024-05-21 05:45,87.2
2024-05-21 05:46,87.28
2024-05-21 05:47,87.36
2024-05-21 05:48,87.44
2024-05-21 05:49,87.52
2024-05-21 05:50,87.6
2024-05-21 05:51,87.68
2024-05-21 05:52,87.76
2024-05-21 05:53,87.84
2024-05-21 05:54,87.92
2024-05-21 05:55,88.0
2024-05-21 05:56,88.08
2024-05-21 05:57,88.16
2024-05-21 05:58,88.24
2024-05-21 05:59,88.32
2024-05-21 06:00,88.4
2024-05-21 06:01,88.48
2024-05-21 06:02,88.56
2024-05-21 06:03,88.64
2024-05-21 06:04,88.72
2024-05-21 06:05,88.8
2024-05-21 06:06,88.88
2024-05-21 06:07,88.96
2024-05-21 06:08,89.04
2024-05-21 06:09,89.12
2024-05-21 06:10,89.2
2024-05-21 06:11,89.28
2024-05-21 06:12,89.36
