date,avg_temp_c,avg_flow_lpm,alarm_count
2024-05-01,82.4,96.4,3
2024-05-02,82.8,95.8,4
2024-05-03,83.2,95.2,5
2024-05-04,83.6,94.6,2
2024-05-05,82.0,94.0,3
2024-05-06,82.4,93.4,4
2024-05-07,82.8,97.0,5
2024-05-08,83.2,96.4,2
2024-05-09,83.6,95.8,3
2024-05-10,82.0,95.2,4
2024-05-11,82.4,94.6,5
2024-05-12,82.8,94.0,2
2024-05-13,83.2,93.4,3
2024-05-14,83.6,97.0,4
2024-05-15,82.0,96.4,5
2024-05-16,82.4,95.8,2
2024-05-17,82.8,95.2,3
2024-05-18,83.2,94.6,4
2024-05-19,83.6,94.0,5
2024-05-20,82.0,93.4,2
2024-05-21,82.4,97.0,3
2024-05-22,82.8,96.4,4
2024-05-23,83.2,95.8,5
2024-05-24,83.6,95.2,2
2024-05-25,82.0,94.6,3
2024-05-26,82.4,94.0,4
2024-05-27,82.8,93.4,5
2024-05-28,83.2,97.0,2
