timestamp,surface_defect_index
2024-05-21 08:00,1.0
2024-05-21 08:03,1.06
2024-05-21 08:06,1.12
2024-05-21 08:09,1.18
2024-05-21 08:12,1.24
2024-05-21 08:15,1.3
2024-05-21 08:18,1.36
2024-05-21 08:21,1.42
2024-05-21 08:24,1.48
2024-05-21 08:27,1.0
2024-05-21 08:30,1.06
2024-05-21 08:33,1.12
2024-05-21 08:36,1.18
2024-05-21 08:39,1.24
2024-05-21 08:42,1.3
2024-05-21 08:45,1.36
2024-05-21 08:48,1.42
2024-05-21 08:51,1.48
2024-05-21 08:54,1.0
2024-05-21 08:57,1.06
2024-05-21 09:00,1.12
2024-05-21 09:03,1.18
2024-05-21 09:06,1.24
2024-05-21 09:09,1.3
2024-05-21 09:12,1.36
2024-05-21 09:15,1.42
2024-05-21 09:18,1.48
2024-05-21 09:21,1.0
2024-05-21 09:24,1.06
2024-05-21 09:27,1.12
2024-05-21 09:30,1.18
2024-05-21 09:33,1.24
2024-05-21 09:36,1.3
2024-05-21 09:39,1.36
2024-05-21 09:42,1.42
2024-05-21 09:45,1.48
2024-05-21 09:48,1.0
2024-05-21 09:51,1.06
2024-05-21 09:54,1.12
2024-05-21 09:57,1.18
2024-05-21 10:00,1.24
2024-05-21 10:03,1.3
2024-05-21 10:06,1.36
2024-05-21 10:09,1.42
2024-05-21 10:12,1.48
2024-05-21 10:15,1.0
2024-05-21 10:18,1.06
2024-05-21 10:21,1.12
2024-05-21 10:24,1.18
2024-05-21 10:27,1.24
