timestamp,surface_defect_index
2024-05-21 08:00,0.8
2024-05-21 08:03,0.86
2024-05-21 08:06,0.92
2024-05-21 08:09,0.98
2024-05-21 08:12,1.04
2024-05-21 08:15,1.1
2024-05-21 08:18,1.16
2024-05-21 08:21,1.22
2024-05-21 08:24,1.28
2024-05-21 08:27,0.8
2024-05-21 08:30,0.86
2024-05-21 08:33,0.92
2024-05-21 08:36,0.98
2024-05-21 08:39,1.04
2024-05-21 08:42,1.1
2024-05-21 08:45,1.16
2024-05-21 08:48,1.22
2024-05-21 08:51,1.28
2024-05-21 08:54,0.8
2024-05-21 08:57,0.86
2024-05-21 09:00,0.92
2024-05-21 09:03,0.98
2024-05-21 09:06,1.04
2024-05-21 09:09,1.1
2024-05-21 09:12,1.16
2024-05-21 09:15,1.22
2024-05-21 09:18,1.28
2024-05-21 09:21,0.8
2024-05-21 09:24,0.86
2024-05-21 09:27,0.92
2024-05-21 09:30,0.98
2024-05-21 09:33,1.04
2024-05-21 09:36,1.1
2024-05-21 09:39,1.16
2024-05-21 09:42,1.22
2024-05-21 09:45,1.28
2024-05-21 09:48,0.8
2024-05-21 09:51,0.86
2024-05-21 09:54,0.92
2024-05-21 09:57,0.98
2024-05-21 10:00,1.04
2024-05-21 10:03,1.1
2024-05-21 10:06,1.16
2024-05-21 10:09,1.22
2024-05-21 10:12,1.28
2024-05-21 10:15,0.8
2024-05-21 10:18,0.86
2024-05-21 10:21,0.92
2024-05-21 10:24,0.98
2024-05-21 10:27,1.04
