timestamp,pressure_bar
2024-05-19 00:00,3.42
2024-05-19 01:00,3.42
2024-05-19 02:00,3.43
2024-05-19 03:00,3.4
2024-05-19 04:00,3.42
2024-05-19 05:00,3.42
2024-05-19 06:00,3.43
2024-05-19 07:00,3.41
2024-05-19 08:00,3.44
2024-05-19 09:00,3.4
2024-05-19 10:00,3.41
2024-05-19 11:00,3.42
2024-05-19 12:00,3.43
2024-05-19 13:00,3.41
2024-05-19 14:00,3.4
2024-05-19 15:00,3.44
2024-05-19 16:00,3.41
2024-05-19 17:00,3.42
2024-05-19 18:00,3.42
2024-05-19 19:00,3.42
2024-05-19 20:00,3.42
2024-05-19 21:00,3.42
2024-05-19 22:00,3.44
2024-05-19 23:00,3.41
2024-05-20 00:00,3.42
2024-05-20 01:00,3.4
2024-05-20 02:00,3.41
2024-05-20 03:00,3.42
2024-05-20 04:00,3.4
2024-05-20 05:00,3.4
2024-05-20 06:00,3.42
2024-05-20 07:00,3.4
2024-05-20 08:00,3.4
2024-05-20 09:00,3.41
2024-05-20 10:00,3.41
2024-05-20 11:00,3.39
2024-05-20 12:00,3.39
2024-05-20 13:00,3.38
2024-05-20 14:00,3.39
2024-05-20 15:00,3.39
2024-05-20 16:00,3.39
2024-05-20 17:00,3.37
2024-05-20 18:00,3.37
2024-05-20 19:00,3.38
2024-05-20 20:00,3.37
2024-05-20 21:00,3.37
2024-05-20 22:00,3.37
2024-05-20 23:00,3.36
2024-05-21 00:00,3.44
2024-05-21 01:00,3.43
2024-05-21 02:00,3.43
2024-05-21 03:00,3.42
2024-05-21 04:00,3.42
2024-05-21 05:00,3.41
2024-05-21 06:00,3.38
2024-05-21 07:00,3.33
2024-05-21 08:00,3.28
2024-05-21 09:00,3.22
2024-05-21 10:00,3.17
2024-05-21 11:00,3.11
2024-05-21 12:00,3.05
2024-05-21 13:00,3.01
2024-05-21 14:00,2.97
2024-05-21 15:00,3.05
2024-05-21 16:00,3.13
2024-05-21 17:00,3.16
2024-05-21 18:00,3.19
2024-05-21 19:00,3.17
2024-05-21 20:00,3.19
2024-05-21 21:00,3.2
2024-05-21 22:00,3.17
2024-05-21 23:00,3.16
2024-05-22 00:00,0.0
2024-05-22 01:00,0.0
2024-05-22 02:00,0.0
2024-05-22 03:00,0.0
2024-05-22 04:00,3.36
2024-05-22 05:00,3.38
2024-05-22 06:00,3.37
2024-05-22 07:00,3.38
2024-05-22 08:00,3.39
2024-05-22 09:00,3.37
2024-05-22 10:00,3.39
2024-05-22 11:00,3.37
2024-05-22 12:00,3.38
2024-05-22 13:00,3.4
2024-05-22 14:00,3.39
2024-05-22 15:00,3.36
2024-05-22 16:00,3.38
2024-05-22 17:00,3.37
2024-05-22 18:00,3.36
2024-05-22 19:00,3.39
2024-05-22 20:00,3.39
2024-05-22 21:00,3.37
2024-05-22 22:00,3.39
2024-05-22 23:00,3.38
