timestamp,value_celsius
2024-05-19 00:00,83.1
2024-05-19 01:00,83.0
2024-05-19 02:00,83.4
2024-05-19 03:00,83.6
2024-05-19 04:00,84.1
2024-05-19 05:00,84.3
2024-05-19 06:00,84.6
2024-05-19 07:00,84.3
2024-05-19 08:00,84.7
2024-05-19 09:00,84.6
2024-05-19 10:00,84.8
2024-05-19 11:00,85.0
2024-05-19 12:00,84.7
2024-05-19 13:00,84.8
2024-05-19 14:00,85.0
2024-05-19 15:00,84.9
2024-05-19 16:00,84.6
2024-05-19 17:00,84.6
2024-05-19 18:00,84.6
2024-05-19 19:00,83.9
2024-05-19 20:00,84.2
2024-05-19 21:00,83.9
2024-05-19 22:00,83.4
2024-05-19 23:00,83.1
2024-05-20 00:00,83.8
2024-05-20 01:00,83.4
2024-05-20 02:00,83.3
2024-05-20 03:00,83.3
2024-05-20 04:00,83.7
2024-05-20 05:00,83.6
2024-05-20 06:00,83.7
2024-05-20 07:00,84.4
2024-05-20 08:00,85.1
2024-05-20 09:00,86.2
2024-05-20 10:00,86.6
2024-05-20 11:00,87.5
2024-05-20 12:00,88.5
2024-05-20 13:00,89.2
2024-05-20 14:00,89.4
2024-05-20 15:00,89.1
2024-05-20 16:00,89.2
2024-05-20 17:00,88.5
2024-05-20 18:00,88.7
2024-05-20 19:00,88.8
2024-05-20 20:00,88.6
2024-05-20 21:00,88.7
2024-05-20 22:00,88.6
2024-05-20 23:00,88.8
2024-05-21 00:00,84.1
2024-05-21 01:00,84.3
2024-05-21 02:00,84.2
2024-05-21 03:00,84.4
2024-05-21 04:00,84.6
2024-05-21 05:00,85.0
2024-05-21 06:00,87.6
2024-05-21 07:00,92.1
2024-05-21 08:00,97.2
2024-05-21 09:00,102.8
2024-05-21 10:00,108.4
2024-05-21 11:00,111.2
2024-05-21 12:00,113.4
2024-05-21 13:00,115.0
2024-05-21 14:00,116.2
2024-05-21 15:00,108.3
2024-05-21 16:00,98.7
2024-05-21 17:00,91.2
2024-05-21 18:00,87.4
2024-05-21 19:00,85.1
2024-05-21 20:00,84.1
2024-05-21 21:00,83.9
2024-05-21 22:00,83.9
2024-05-21 23:00,83.8
2024-05-22 00:00,61.8
2024-05-22 01:00,65.9
2024-05-22 02:00,69.1
2024-05-22 03:00,72.6
2024-05-22 04:00,75.8
2024-05-22 05:00,77.9
2024-05-22 06:00,79.4
2024-05-22 07:00,81.3
2024-05-22 08:00,83.7
2024-05-22 09:00,83.3
2024-05-22 10:00,83.3
2024-05-22 11:00,83.4
2024-05-22 12:00,84.2
2024-05-22 13:00,84.6
2024-05-22 14:00,84.6
2024-05-22 15:00,84.8
2024-05-22 16:00,85.2
2024-05-22 17:00,85.3
2024-05-22 18:00,85.3
2024-05-22 19:00,85.7
2024-05-22 20:00,85.5
2024-05-22 21:00,84.9
2024-05-22 22:00,84.8
2024-05-22 23:00,84.3
